"_____",487,122
"______",129,125
"_______",250,123
"____________",126,124
"a1",11878,2862
"a2",2923,1454
"a3",1554,1174
"a300",183,139
"a310",114,103
"a320",350,218
"a330",514,186
"a340",433,188
"a3xx",364,153
"a4",196,144
"a5",145,123
"a6",190,160
"a7e",575,146
"aa",9201,5129
"aa1",1077,889
"aa2",1464,1172
"aa3",1357,1052
"aaa",15687,6957
"aam",380,325
"aamir",190,145
"aamodt",342,164
"aamuleht",627,335
"aar",502,162
"aaron",647,585
"aarts",165,108
"aas",135,120
"ab",3699,2947
"aba",466,164
"abab",546,391
"abac",359,178
"abach",1261,574
"aback",111,109
"abacus",246,135
"abad",288,218
"abandon",7296,6403
"abar",1034,252
"abat",817,713
"abattoir",179,107
"abb",2244,827
"abba",684,508
"abbey",1770,770
"abbot",717,392
"abbrev",421,390
"abc",3913,1986
"abcd",220,220
"abdal",438,402
"abdallah",316,249
"abdel",1145,831
"abdelkad",113,104
"abdellatif",158,147
"abdicat",348,234
"abdom",114,108
"abdomin",205,172
"abduc",2102,1327
"abdul",2997,2299
"abdull",299,274
"abdullah",2572,1587
"abdur",135,124
"abe",220,109
"abed",205,133
"abel",516,467
"aberdeen",1000,647
"aberrat",220,205
"abet",191,177
"abey",135,133
"abhor",124,123
"abi",333,152
"abid",1167,1092
"abidin",173,168
"abidj",1917,1211
"abigail",550,541
"abil",9277,8506
"abiol",353,194
"abkhaz",743,120
"ablaz",412,373
"abm",200,126
"abn",7657,5549
"abnorm",2827,1882
"aboard",3356,2628
"abod",206,133
"abol",4090,3279
"aborigin",2775,884
"abort",3814,1745
"abou",303,136
"abound",323,318
"abraham",738,550
"abras",200,187
"abroad",11926,10185
"abrupt",1204,1168
"abs",615,303
"absa",288,121
"absent",9176,8344
"absolut",6676,6242
"absorb",4753,4272
"abstain",847,746
"abstent",566,509
"abstract",172,142
"absurd",647,595
"abu",4412,2626
"abuj",646,464
"abund",1110,1060
"abus",8044,5663
"abusiv",248,229
"abyss",159,152
"ac",1570,1088
"acacia",326,169
"academ",3396,2683
"acapulc",169,130
"acc",1551,1092
"accc",659,230
"acced",169,166
"accel",7908,7005
"accent",318,259
"accentu",267,263
"accept",36425,27894
"access",24311,16912
"accessibl",774,722
"accid",9030,5779
"acciv",138,115
"acclaim",490,420
"accommod",2203,1976
"accomod",496,455
"accompan",5935,5679
"accompl",1709,1630
"accomplic",705,567
"accor",511,214
"accord",17778,12651
"account",77173,48123
"accr",243,187
"accredit",425,337
"accret",1362,1095
"accru",2226,1927
"accrual",495,406
"acct",1115,847
"accumul",5357,4542
"accur",15142,15073
"accurat",2161,2026
"accus",27090,21234
"accusat",3536,3102
"accustom",390,385
"ace",1267,842
"acea",214,109
"acer",749,335
"acetic",160,134
"ach",246,232
"achief",22905,19624
"achill",281,255
"aci",450,169
"acid",2837,1810
"ackerm",651,446
"acknowledg",6445,6107
"acknowleg",109,106
"acm",260,144
"acor",126,122
"acount",103,101
"acp",627,275
"acpc",1352,420
"acquaint",274,258
"acquir",62821,37515
"acquist",328,313
"acquit",1422,1064
"acqus",223,218
"acr",5351,3017
"acre",1661,1099
"acrimon",433,426
"acrobat",123,111
"acronym",177,162
"acryl",196,139
"act",34517,26300
"action",45338,33611
"activ",87953,64771
"activat",1015,914
"activit",164,160
"actress",1368,914
"actu",617,380
"actual",22487,19939
"actuar",134,117
"acut",1549,1428
"ad",4433,2812
"adam",6093,4256
"adapt",2129,1875
"adaptat",221,197
"adb",900,298
"adc",258,103
"adcock",201,101
"add",217342,158752
"addendum",1684,1670
"addi",597,424
"addict",1626,990
"address",16074,13690
"adel",274,266
"adelaid",1935,1401
"aden",247,131
"adequ",925,696
"adequat",4907,4446
"adevarul",526,304
"adfl",272,201
"adha",238,208
"adhes",2123,1856
"adhigun",408,212
"adid",787,259
"adity",165,140
"adj",7561,1270
"adjac",1195,1156
"adjoin",484,464
"adjourn",1422,1106
"adjud",127,118
"adjust",25013,18426
"adl",394,222
"adm",2294,932
"admin",544,461
"administ",43128,34346
"adminstr",443,422
"admir",1716,1364
"admirat",254,243
"admit",14479,11756
"admon",115,114
"adnan",185,175
"adnoc",436,214
"adob",290,124
"adol",180,148
"adolf",815,757
"adolph",118,104
"adopt",16039,11948
"ador",147,144
"adorn",180,164
"adp",561,226
"adr",6271,2869
"adrian",1972,1807
"adriat",1210,994
"adrift",539,503
"ads",5014,3109
"adss",392,278
"adt",1068,201
"adtranz",317,121
"adult",3520,2649
"adv",990,879
"advan",217,143
"advanc",31631,25162
"advant",12169,10764
"advent",506,464
"adventur",804,680
"advers",3642,3420
"advert",18788,8469
"advertis",1335,847
"advic",3654,3149
"advis",24041,19158
