"name","citationCount","citerCount"
"A Adam Ding","1","3"
"A B Kristoffersen","0","0"
"A Bottle","0","0"
"A C Davison","8","13"
"A Chatterjee","1","3"
"A D Tsodikov","8","18"
"A David Cummings","0","0"
"A E Ades","0","0"
"A Galichon","2","5"
"A Grane","0","0"
"A Guillin","1","4"
"A H Zwinderman","4","9"
"A J Hayter","0","0"
"A J Lee","1","3"
"A J Scott","3","6"
"A James OMalley","0","0"
"A Jara","0","0"
"A Kong","5","4"
"A Mallik","0","0"
"A N Pettitt","9","20"
"A Philip Dawid","3","8"
"A Richard Entsuah","0","0"
"A Ronald Gallant","0","0"
"A Ruiz-Gazen","0","0"
"A S Foulkes","2","6"
"A S Hedayat","8","9"
"A Touati","1","1"
"A Trouve","0","0"
"Aad van der Vaart","20","30"
"Aad W van der Vaart","5","8"
"Aaron King","0","0"
"Aarti Singh","1","2"
"Abba M Krieger","18","36"
"Abbas Khalili","0","0"
"Abdelhadi Akharif","0","0"
"Abdelkader Mokkadem","1","2"
"Abdessamad Saidi","0","0"
"Abdus S Wahed","4","5"
"Abel Rodriguez","6","11"
"Abhishek Bhattacharya","0","0"
"Abhyuday Mandal","0","0"
"Adam Clements","0","0"
"Adam J Rothman","9","16"
"Adam N Glynn","0","0"
"Adarsh Joshi","0","0"
"Adelchi Azzalini","7","13"
"Adelmo I Bertolde","0","0"
"Adi F Gazdar","0","0"
"Adin-Cristian Andrei","0","0"
"Adonis Yatchew","0","0"
"Adrian Baddeley","7","9"
"Adrian Barbu","0","0"
"Adrian Dobra","5","13"
"Adrian E Raftery","36","63"
"Agnes Desolneux","0","0"
"Agostino Nobile","1","1"
"Agus Sudjianto","0","0"
"Agustin Mayo-Iscar","1","5"
"Aidan McDermott","2","5"
"Aijun Zhang","0","0"
"Aimee Zaas","0","0"
"Aiyi Liu","0","0"
"Aiyou Chen","3","9"
"Ajay Jasra","10","27"
"Ajit C Tamhane","0","0"
"Akihiko Inoue","0","0"
"Alain-Jacques Valleron","0","0"
"Alan Agresti","0","0"
"Alan E Gelfand","43","54"
"Alan E Hubbard","1","2"
"Alan Edelman","2","4"
"Alan F Karr","0","0"
"Alan H Welsh","16","37"
"Alan Huang","1","2"
"Alan J Cohen","1","2"
"Alan M Zaslavsky","3","4"
"Alan T K Wan","1","1"
"Albert Cohen","4","8"
"Albert Maydeu-Olivares","1","3"
"Alberto Abadie","1","5"
"Alberto Bernacchia","0","0"
"Alberto Rodriguez-Casal","1","2"
"Alberto Roverato","0","0"
"Albrecht M Kellerer","0","0"
"Aldo Solari","0","0"
"Alec Stephenson","0","0"
"Alejandro Cruz-Marcelo","0","0"
"Alejandro Veen","0","0"
"Alekh Agarwal","0","0"
"Aleksandar Mijatovic","0","0"
"Aleksey Min","1","2"
"Aleksey S Polunchenko","0","0"
"Alessandra Giovagnoli","0","0"
"Alessandra Luati","0","0"
"Alessandra Mattei","0","0"
"Alessandro Baldi Antognini","0","0"
"Alessandro Rinaldo","0","0"
"Alessandro Tarozzi","3","4"
"Alessandro Veneziani","0","0"
"Alessio Farcomeni","0","0"
"Alex Gammerman","0","0"
"Alex Kiss","1","2"
"Alex Lenkoski","0","0"
"Alex Lewin","0","0"
"Alexander Aue","3","6"
"Alexander G Tartakovsky","0","0"
"Alexander Gluhovsky","0","0"
"Alexander Goldenshluger","3","7"
"Alexander J McNeil","1","1"
"Alexander J Smola","0","0"
"Alexander Lindner","0","0"
"Alexander M Spence","0","0"
"Alexander Meister","16","15"
"Alexander Samarov","2","3"
"Alexandra M Schmidt","6","17"
"Alexandra Ramos","0","0"
"Alexandre B Tsybakov","67","80"
"Alexandre Belloni","3","6"
"Alexandre Pintore","0","0"
"Alexandre Rodrigues","0","0"
"Alexandros Beskos","11","22"
"Alexis Diamond","1","5"
"Alfio Marazzi","0","0"
"Alfonso Gordaliza","3","11"
"Alfonso Suarez-Llorens","0","0"
"Alfred Hero","0","0"
"Alfred Kume","8","16"
"Alfredo Navarro","2","4"
"Ali Ekici","4","9"
"Ali M Mosammam","0","0"
"Ali Shojaie","0","0"
"Alice S Whittemore","1","3"
"Alicia Carriquiry","0","0"
"Aliye Atay-Kayis","3","7"
"Allan R Sampson","0","0"
"Allan Timmermann","1","2"
"Alois Kneip","12","29"
"Alvaro Sandroni","0","0"
"Alysha M De Livera","0","0"
"Amanda S Hering","3","6"
"Amgen Research Group","0","0"
"Amita Manatunga","0","0"
"Amnon Neeman","16","31"
"Amy H Herring","8","22"
"Amy J Braverman","0","0"
"Ana-Maria Staicu","2","8"
"Ana Broemeling","0","0"
"Ana Grohovac Rappold","0","0"
"Ana J Villar","0","0"
"Ana Justel","0","0"
"Anand N Vidyashankar","0","0"
"Ananias A Escalante","0","0"
"Ananya Roy","0","0"
"Anastasia Ivanova","0","0"
"Anastasia Papavasiliou","0","0"
"Anastasios A Tsiatis","26","45"
"Anat Sakov","5","13"
"Anatoli B Juditsky","5","7"
"Anatoly Zhigljavsky","0","0"
"Anders Rahbek","0","0"
"Andrada E Ivanescu","0","0"
"Andre Lucas","3","6"
"Andrea Bergesio","0","0"
"Andrea Cerioli","1","1"
"Andrea Hennerfeind","3","7"
"Andrea Rotnitzky","7","15"
"Andreas Brezger","3","7"
"Andreas Buja","0","0"
"Andreas Futschik","0","0"
"Andrei Y Yakovlev","5","13"
"Andrej Pazman","2","4"
"Andres Farall","0","0"
"Andrew B Nobel","6","15"
"Andrew Gelman","5","10"
"Andrew J Patton","1","2"
"Andrew L Rukhin","0","0"
"Andrew M Stuart","0","0"
"Andrew O Finley","12","23"
"Andrew P Robinson","0","0"
"Andrew R Barron","4","8"
"Andrew S Allen","0","0"
"Andrew T A Wood","9","12"
"Andrew T Walden","0","0"
"Andrew V Carter","0","0"
"Andrew W Bergen","0","0"
"Andrey Pepelyshev","10","14"
"Andriy Norets","1","2"
"Andrzej S Kozek","0","0"
"Andy J Minn","1","2"
"Anestis Antoniadis","1","3"
"Angela Kempe","2","3"
"Angela M Dean","0","0"
"Angela Winnett","2","5"
"Angelika Rohde","4","8"
"Aniko Szabo","0","0"
"Anil Aswani","0","0"
"Anindya Bhadra","0","0"
"Anindya Roy","10","17"
"Anirban Bhattacharya","0","0"
"Ann B Lee","0","0"
"Anna Clara Monti","1","2"
"Anna K Panorska","0","0"
"Anna Maria Siega-Riz","1","3"
"Anne-Catherine Favre","0","0"
"Anne Gegout-Petit","2","5"
"Annie Qu","6","11"
"Anny Hui Xiang","0","0"
"Anouar El Ghouch","0","0"
"Antai Wang","0","0"
"Anthony Brockwell","0","0"
"Anthony C Atkinson","1","1"
"Anthony C Hart","0","0"
"Anthony Garratt","3","5"
"Anthony OHagan","13","37"
"Anthony R Olsen","2","7"
"Anthony Reveillac","0","0"
"Anthony W Ledford","3","5"
"Anthony Y C Kuk","2","5"
"Antoine Chambaz","2","3"
"Anton Schick","0","0"
"Antonella Capitanio","7","13"
"Antonietta Mira","2","4"
"Antonio Canale","0","0"
"Antonio Cuevas","1","2"
"Antonio Forcina","0","0"
"Antonio Lijoi","12","10"
"Anuj Srivastava","0","0"
"Ao Yuan","0","0"
"Apostolos Serletis","0","0"
"Arash A Amini","2","4"
"Ardo van den Hout","0","0"
"Arijit Chakrabarti","0","0"
"Arjun K Gupta","0","0"
"Arkadi S Nemirovski","1","3"
"Arkady B Khodursky","0","0"
"Arleta Szkola","0","0"
"Armelle Guillou","0","0"
"Armin Schwartzman","2","5"
"Arnab Maity","6","16"
"Arnak Dalalyan","4","5"
"Arnaud Doucet","12","30"
"Arnaud Durand","0","0"
"Arnaud Gloter","0","0"
"Arne Kovac","4","9"
"Arnold Janssen","0","0"
"Arnoldo Frigessi","2","4"
"Arnost Komarek","0","0"
"Arseni Seregin","2","5"
"Art B Owen","10","17"
"Arthur Cohen","5","6"
"Arthur L Dryver","1","1"
"Arthur Pewsey","1","2"
"Arthur Spirling","0","0"
"Arthur van Soest","0","0"
"Arthur Yu Lu","10","25"
"Arup Bose","5","16"
"Ashutosh Tewari","1","3"
"Assaf Zeevi","3","7"
"Athanasia Petsa","0","0"
"Athanasios C Micheas","0","0"
"Athanasios Kottas","13","20"
"Atsushi Inoue","0","0"
"Aurore Delaigle","29","24"
"Avishai Mandelbaum","5","13"
"Avital Cnaan","5","8"
"Axel Bucher","0","0"
"Axel Gandy","0","0"
"Axel Munk","6","13"
"Azadeh Alimadad","0","0"
"Azeem M Shaikh","5","4"
"B B Bhattacharyya","0","0"
"B Clarke","0","0"
"B Devlin","1","3"
"B J K Kleijn","0","0"
"B K Sinha","0","0"
"B L De Stavola","1","2"
"B M Brown","3","5"
"B Nebiyou Bekele","0","0"
"B Sigal","0","0"
"B T Knapik","0","0"
"Bahjat F Qaqish","4","8"
"Baibing Li","0","0"
"Baiqi Miao","8","12"
"Baisuo Jin","0","0"
"Bakhodir Ergashev","1","3"
"Bala Rajaratnam","7","8"
"Balgobin Nandram","0","0"
"Bani Mallick","10","16"
"Baojiang Chen","2","6"
"Barbara Bogacka","2","5"
"Barbara Klein","5","13"
"Barbara Szyszkowicz","0","0"
"Barry C Arnold","0","0"
"Barry Falk","0","0"
"Barry I Graubard","1","3"
"Barry M Lesht","0","0"
"Barry Rowlingson","3","8"
"Bas J M Werker","4","9"
"Beatrice Giglio","0","0"
"Beatrice Laurent","2","3"
"Beatrix Jones","1","3"
"Beatriz Larraz","0","0"
"Beatriz V M Mendes","0","0"
"Bee Leng Lee","17","23"
"Belkacem Abdous","0","0"
"Ben B Hansen","4","11"
"Ben Calderhead","0","0"
"Ben Haaland","0","0"
"Benedikt M Potscher","4","7"
"Benjamin Williams","0","0"
"Benjamin Yakir","2","4"
"Benoit Cadre","0","0"
"Benoit R Masse","0","0"
"Bent Jorgensen","0","0"
"Bent Nielsen","2","3"
"Bernard Bercu","0","0"
"Bernard Harris","0","0"
"Bernard W Silverman","48","70"
"Bernardo Colombo","0","0"
"Bernd Fitzenberger","0","0"
"Bernd Sturmfels","2","4"
"Bernhard Scholkopf","0","0"
"Bertrand Melenberg","0","0"
"Bess Marcus","1","4"
"Beth Andrews","2","5"
"Beth Ann Griffin","0","0"
"Bhaskar Bhattacharya","0","0"
"Bhramar Mukherjee","0","0"
"Biao Zhang","4","7"
"Bichun Ouyang","0","0"
"Billy Amzal","0","0"
"Bin Nan","4","10"
"Bin Yu","35","63"
"Bin Zhu","0","0"
"Bing-Yi Jing","1","4"
"Bing Li","57","44"
"Birgit I Witte","0","0"
"Bitao Liu","2","2"
"Bo Cai","1","3"
"Bo Henry Lindqvist","7","12"
"Bo Kai","3","5"
"Bo Li","9","13"
"Bo Yang","0","0"
"Boaz Nadler","3","8"
"Bob Zhong","1","2"
"Bodhisattva Sen","3","6"
"Bonifacio Salvador","0","0"
"Bonnie Ghosh-Dastidar","2","2"
"Boris Buchmann","1","2"
"Boris Iglewicz","0","0"
"Borus Jungbacker","1","3"
"Bowei Xi","0","0"
"Boxin Tang","16","17"
"Brad McNeney","0","0"
"Bradley Efron","78","98"
"Bradley Jones","0","0"
"Bradley P Carlin","3","10"
"Bradley S Peterson","6","19"
"Brendan P M McCabe","0","0"
"Brent A Coull","6","11"
"Brent A Johnson","6","13"
"Brent Kreider","0","0"
"Brent R Logan","0","0"
"Bret Hanlon","0","0"
"Brett Presnell","1","3"
"Brian D M Tom","0","0"
"Brian D Ripley","0","0"
"Brian H Aukema","0","0"
"Brian H Reck","0","0"
"Brian J Reich","3","8"
"Brian S Caffo","9","22"
"Brian S Yandell","0","0"
"Brian Williams","3","14"
"Brisa N Sanchez","0","0"
"Bruce E Hansen","1","2"
"Bruce G Lindsay","4","7"
"Bruce W Turnbull","1","3"
"Brunero Liseo","0","0"
"Bruno Remillard","0","0"
"Bruno Sanso","1","3"
"Bryan E Shepherd","3","4"
"Bryan Langholz","0","0"
"Burkhardt Seifert","0","0"
"Byeong U Park","19","29"
"Byron Ellis","1","1"
"Byron J T Morgan","0","0"
"Byron Schmuland","0","0"
"C A Field","2","7"
"C C Tan","0","0"
"C D Barr","0","0"
"C Devon Lin","4","8"
"C F Jeff Wu","6","8"
"C F Sirmans","7","14"
"C G Wager","2","5"
"C Goga","0","0"
"C H Sim","0","0"
"C Hendricks Brown","0","0"
"C Houdre","1","3"
"C J Brien","5","5"
"C J Wild","1","3"
"C Kiss","0","0"
"C Lacour","0","0"
"C Levy-Leduc","0","0"
"C M Jack Wang","1","3"
"C Messan Setodji","6","16"
"C N Kuruwita","0","0"
"C Paddy Farrington","0","0"
"C S Wong","0","0"
"C Semadeni","2","4"
"C Shane Reese","1","2"
"C Thomas Agnan","10","23"
"C Tommasi","1","2"
"C Wang","0","0"
"C Y Wang","6","11"
"C Yau","4","8"
"Camelia S Sima","0","0"
"Cari G Kaufman","5","16"
"Carlo Gaetan","0","0"
"Carlos Acuna","0","0"
"Carlos Almeida","1","2"
"Carlos E Pedreira","0","0"
"Carlos M Carvalho","17","32"
"Carlos Matran","1","5"
"Carlos Vallarino","1","1"
"Carlos Velasco","3","6"
"Carmen Cadarso-Suarez","0","0"
"Carmen Fernandez","0","0"
"Caroline Beunckens","0","0"
"Carolyn M Rutter","0","0"
"Carsten H Botts","0","0"
"Caspar M Ammann","1","3"
"Casper J Albers","0","0"
"Cassandra Arroyo","2","5"
"Caterina May","1","2"
"Catherine A Calder","0","0"
"Catherine A Sugar","21","42"
"Catherine Datto","2","5"
"Catherine Loader","0","0"
"Catherine Matias","3","8"
"Catherine Schairer","0","0"
"Catherine Vermandele","3","6"
"Catia Scricciolo","0","0"
"Catriona M Queen","0","0"
"Cavan Reilly","0","0"
"Cecile Durot","1","3"
"Cecile Hardouin","0","0"
"Celia Byrne","0","0"
"Celine Vial","4","8"
"Chad J Gwaltney","3","6"
"Chad M Schafer","0","0"
"Chandan Saha","1","3"
"Chang-Yung Yu","0","0"
"Chang Xuan Mao","4","9"
"Changbao Wu","2","5"
"Changchun Wang","0","0"
"Changliang Zou","0","0"
"Chao Yang","0","0"
"Charles C Taylor","0","0"
"Charles E McCulloch","1","2"
"Charles H Hennekens","0","0"
"Charles J Geyer","2","3"
"Charles R G Guttmann","0","0"
"Chen-Pin Wang","0","0"
"Chen-Sheng Lin","0","0"
"Cheng-Der Fuh","4","5"
"Cheng Yong Tang","3","6"
"Cheng Zhu","0","0"
"Chengcheng Hu","2","4"
